client_id,client_name,industry,location
A01,Client_1,Banking,Canada
A02,Client_2,Retail,India
A03,Client_3,Banking,Canada
A04,Client_4,Retail,UK
A05,Client_5,Retail,USA
A06,Client_6,Retail,UK
A07,Client_7,Telecom,UK
A08,Client_8,Healthcare,India
A09,Client_9,Finance,USA
A10,Client_10,Ecommerce,USA
A11,Client_11,Retail,Canada
A12,Client_12,Retail,Germany
A13,Client_13,Ecommerce,USA
A14,Client_14,Banking,Germany
A15,Client_15,Finance,Canada
A16,Client_16,Ecommerce,India
A17,Client_17,Ecommerce,Canada
A18,Client_18,Banking,India
A19,Client_19,Ecommerce,USA
A20,Client_20,Ecommerce,USA
A21,Client_21,Healthcare,Canada
A22,Client_22,Ecommerce,Canada
A23,Client_23,Banking,UK
A24,Client_24,Ecommerce,Germany
A25,Client_25,Ecommerce,Canada
A26,Client_26,Healthcare,India
A27,Client_27,Healthcare,Germany
A28,Client_28,Ecommerce,UK
A29,Client_29,Banking,Canada
A30,Client_30,Finance,Canada
A31,Client_31,Ecommerce,Germany
A32,Client_32,Banking,UK
A33,Client_33,Banking,UK
A34,Client_34,Healthcare,Germany
A35,Client_35,Telecom,Germany
A36,Client_36,Telecom,USA
A37,Client_37,Retail,India
A38,Client_38,Retail,Germany
A39,Client_39,Ecommerce,Canada
A40,Client_40,Finance,UK
